Order_ID,Customer_Name,Order_Date,State,City,Amount,Profit,Quantity,Category,Sub_Category,Month_of_Order_Date,Target
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,4/18/2025,10400
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,5/18/2025,10500
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,6/18/2025,10600
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,7/18/2025,10800
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,8/18/2025,10900
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,9/18/2025,11000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,10/18/2025,11100
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,11/18/2025,11300
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,12/18/2025,11400
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,1/19/2025,11500
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,2/19/2025,11600
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases,3/19/2025,11800
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,4/18/2025,12000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,5/18/2025,12000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,6/18/2025,12000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,7/18/2025,14000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,8/18/2025,14000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,9/18/2025,14000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,10/18/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,11/18/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,12/18/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,1/19/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,2/19/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole,3/19/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,4/18/2025,12000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,5/18/2025,12000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,6/18/2025,12000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,7/18/2025,14000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,8/18/2025,14000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,9/18/2025,14000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,10/18/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,11/18/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,12/18/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,1/19/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,2/19/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief,3/19/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,4/18/2025,9000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,5/18/2025,9000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,6/18/2025,9000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,7/18/2025,9000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,8/18/2025,9000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,9/18/2025,9000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,10/18/2025,9000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,11/18/2025,9000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,12/18/2025,9000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,1/19/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,2/19/2025,16000
B-25601,Pearl,4/1/2018,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games,3/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,4/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,5/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,6/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,7/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,8/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,9/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,10/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,11/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,12/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,1/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,2/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,168,-111,2,Electronics,Phones,3/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,4/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,5/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,6/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,7/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,8/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,9/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,10/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,11/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,12/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,1/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,2/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,424,-272,5,Electronics,Phones,3/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,4/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,5/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,6/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,7/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,8/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,9/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,10/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,11/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,12/18/2025,9000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,1/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,2/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,2617,1151,4,Electronics,Phones,3/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,4/18/2025,12000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,5/18/2025,12000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,6/18/2025,12000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,7/18/2025,14000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,8/18/2025,14000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,9/18/2025,14000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,10/18/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,11/18/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,12/18/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,1/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,2/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,561,212,3,Clothing,Saree,3/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,4/18/2025,12000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,5/18/2025,12000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,6/18/2025,12000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,7/18/2025,14000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,8/18/2025,14000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,9/18/2025,14000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,10/18/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,11/18/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,12/18/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,1/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,2/19/2025,16000
B-25602,Jahan,4/1/2018,Maharashtra,Pune,119,-5,8,Clothing,Saree,3/19/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,4/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,5/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,6/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,7/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,8/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,9/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,10/18/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,11/18/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,12/18/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,1/19/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,2/19/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,3/19/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,4/18/2025,10400
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,5/18/2025,10500
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,6/18/2025,10600
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,7/18/2025,10800
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,8/18/2025,10900
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,9/18/2025,11000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,10/18/2025,11100
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,11/18/2025,11300
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,12/18/2025,11400
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,1/19/2025,11500
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,2/19/2025,11600
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,3/19/2025,11800
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,4/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,5/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,6/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,7/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,8/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,9/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,10/18/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,11/18/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,12/18/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,1/19/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,2/19/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,3/19/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,4/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,5/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,6/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,7/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,8/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,9/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,10/18/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,11/18/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,12/18/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,1/19/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,2/19/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,3/19/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole,4/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole,5/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole,6/18/2025,12000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole,7/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole,8/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole,9/18/2025,14000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole,10/18/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole,11/18/2025,16000
B-25603,Divsha,4/3/2018,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole,12/18/2025,16000
